from_stop_id,to_stop_id,transfer_type,min_transfer_time
5700,5691,2,120
5700,5701,2,120
5700,3943,2,300
5700,5690,2,300
5700,5700,2,120
5701,5696,2,120
5701,5695,2,120
5701,5697,2,120
5701,5693,2,120
5701,5522,2,120
5701,5698,2,120
5701,5700,2,120
5701,5699,2,120
5701,5691,2,120
5701,3943,2,300
5701,5690,2,300
5701,5701,2,120
5717,5719,2,120
5717,5778,2,120
5717,5730,2,120
5717,5720,2,120
5717,5723,2,120
5717,5733,2,120
5717,5726,2,120
5717,5734,2,120
5717,5729,2,120
5717,5736,2,180
5717,5725,2,120
5717,5804,2,120
5717,5735,2,180
5717,5727,2,120
5717,5728,2,120
5717,5717,2,120
5719,5717,2,120
5719,5778,2,120
5719,5730,2,120
5719,5720,2,120
5719,5723,2,120
5719,5733,2,120
5719,5726,2,120
5719,5734,2,120
5719,5729,2,120
5719,5736,2,180
5719,5725,2,120
5719,5804,2,120
5719,5735,2,180
5719,5727,2,120
5719,5728,2,120
5719,5719,2,120
5720,5717,2,120
5720,5719,2,120
5720,5778,2,120
5720,5730,2,120
5720,5723,2,120
5720,5733,2,120
5720,5726,2,120
5720,5734,2,120
5720,5729,2,120
5720,5736,2,180
5720,5725,2,120
5720,5804,2,120
5720,5735,2,180
5720,5727,2,120
5720,5728,2,120
5720,5720,2,120
5723,5717,2,120
5723,5719,2,120
5723,5778,2,120
5723,5730,2,120
5723,5720,2,120
5723,5733,2,120
5723,5726,2,120
5723,5734,2,120
5723,5729,2,120
5723,5736,2,180
5723,5725,2,120
5723,5804,2,120
5723,5735,2,180
5723,5727,2,120
5723,5728,2,120
5723,5723,2,120
5725,5717,2,120
5725,5719,2,120
5725,5778,2,120
5725,5730,2,120
5725,5720,2,120
5725,5723,2,120
5725,5733,2,120
5725,5726,2,120
5725,5734,2,120
5725,5729,2,120
5725,5736,2,180
5725,5804,2,120
5725,5735,2,180
5725,5727,2,120
5725,5728,2,120
5725,5725,2,120
5726,5717,2,120
5726,5719,2,120
5726,5778,2,120
5726,5730,2,120
5726,5720,2,120
5726,5723,2,120
5726,5733,2,120
5726,5734,2,120
5726,5729,2,120
5726,5736,2,180
5726,5725,2,120
5726,5804,2,120
5726,5735,2,180
5726,5727,2,120
5726,5728,2,120
5726,5726,2,120
5727,5717,2,120
5727,5719,2,120
5727,5778,2,120
5727,5730,2,120
5727,5720,2,120
5727,5723,2,120
5727,5733,2,120
5727,5726,2,120
5727,5734,2,120
5727,5729,2,120
5727,5736,2,180
5727,5725,2,120
5727,5804,2,120
5727,5735,2,180
5727,5728,2,120
5727,5727,2,120
5728,5717,2,120
5728,5719,2,120
5728,5778,2,120
5728,5730,2,120
5728,5720,2,120
5728,5723,2,120
5728,5733,2,120
5728,5726,2,120
5728,5734,2,120
5728,5729,2,120
5728,5736,2,180
5728,5725,2,120
5728,5804,2,120
5728,5735,2,180
5728,5727,2,120
5728,5728,2,120
5729,5717,2,120
5729,5719,2,120
5729,5778,2,120
5729,5730,2,120
5729,5720,2,120
5729,5723,2,120
5729,5733,2,120
5729,5726,2,120
5729,5734,2,120
5729,5736,2,180
5729,5725,2,120
5729,5804,2,120
5729,5735,2,180
5729,5727,2,120
5729,5728,2,120
5729,5729,2,120
5730,5717,2,120
5730,5719,2,120
5730,5778,2,120
5730,5720,2,120
5730,5723,2,120
5730,5733,2,120
5730,5726,2,120
5730,5734,2,120
5730,5729,2,120
5730,5736,2,180
5730,5725,2,120
5730,5804,2,120
5730,5735,2,180
5730,5727,2,120
5730,5728,2,120
5730,5730,2,120
5733,5717,2,120
5733,5719,2,120
5733,5778,2,120
5733,5730,2,120
5733,5720,2,120
5733,5723,2,120
5733,5726,2,120
5733,5734,2,120
5733,5729,2,120
5733,5736,2,180
5733,5725,2,120
5733,5804,2,120
5733,5735,2,180
5733,5727,2,120
5733,5728,2,120
5733,5733,2,120
5734,5717,2,120
5734,5719,2,120
5734,5778,2,120
5734,5730,2,120
5734,5720,2,120
5734,5723,2,120
5734,5733,2,120
5734,5726,2,120
5734,5729,2,120
5734,5736,2,180
5734,5725,2,120
5734,5804,2,120
5734,5735,2,180
5734,5727,2,120
5734,5728,2,120
5734,5734,2,120
5735,5717,2,240
5735,5719,2,240
5735,5778,2,240
5735,5730,2,240
5735,5720,2,240
5735,5723,2,240
5735,5733,2,240
5735,5726,2,240
5735,5734,2,240
5735,5729,2,240
5735,5736,2,240
5735,5725,2,240
5735,5804,2,240
5735,5727,2,240
5735,5728,2,240
5735,5735,2,240
5736,5717,2,240
5736,5719,2,240
5736,5778,2,240
5736,5730,2,240
5736,5720,2,240
5736,5723,2,240
5736,5733,2,240
5736,5726,2,240
5736,5734,2,240
5736,5729,2,240
5736,5725,2,240
5736,5804,2,240
5736,5735,2,240
5736,5727,2,240
5736,5728,2,240
5736,5736,2,240
5778,5717,2,120
5778,5719,2,120
5778,5730,2,120
5778,5720,2,120
5778,5723,2,120
5778,5733,2,120
5778,5726,2,120
5778,5734,2,120
5778,5729,2,120
5778,5736,2,180
5778,5725,2,180
5778,5804,2,180
5778,5735,2,180
5778,5727,2,120
5778,5728,2,120
5778,5778,2,120
5804,5717,2,120
5804,5719,2,120
5804,5778,2,120
5804,5730,2,120
5804,5720,2,120
5804,5723,2,120
5804,5733,2,120
5804,5726,2,120
5804,5734,2,120
5804,5729,2,120
5804,5736,2,180
5804,5725,2,120
5804,5735,2,180
5804,5727,2,120
5804,5728,2,120
5804,5804,2,120
