stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,wheelchair_boarding
3857,"Bessette","Saint-Michel / Bessette",46.895295,-71.196579,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3857,0,2
3858,"du Camarat","Saint-Michel / du Camarat",46.896463,-71.195452,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3858,0,2
3859,"T.-Dillon","Saint-Michel / T.-Dillon",46.896921,-71.19261,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3859,0,2
3860,"Raymond/3860","Saint-Michel / Raymond",46.897831,-71.190824,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3860,0,2
3862,"A.-Viau/3862","de l'Auvergne / A.-Viau Nord",46.824747,-71.355698,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3862,0,2
3863,"S.-Drolet/3863","de l'Auvergne / S.-Drolet",46.82862,-71.349025,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3863,0,2
3864,"l'Ormière/3864","de l'Auvergne / de l'Ormière",46.830372,-71.348056,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3864,0,2
3865,"l'Ormière/3865","de l'Auvergne / de l'Ormière",46.830397,-71.348332,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3865,0,2
3866,"S.-Drolet/3866","de l'Auvergne / Sainte-Barbe",46.828754,-71.349145,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3866,0,2
3867,"A.-Viau/3867","de l'Auvergne / A.-Viau Nord",46.825426,-71.353916,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3867,0,2
3868,"du Point-du-Jour","de l'Auvergne / du Point-du-Jour",46.825153,-71.357831,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3868,0,2
3869,"Auvergne/3869","de l'Auvergne / au 4325",46.827177,-71.350719,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3869,0,2
3871,"St-Albert","Louis-XIV / T.-Dillon",46.899155,-71.193479,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3871,0,2
3872,"Auvergne/3872","de l'Auvergne / face au 4325",46.827384,-71.350696,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3872,0,2
3873,"St-Grégoire/3873","Saint-Grégoire / Saint-Grégoire",46.878396,-71.154678,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3873,0,2
3875,"J.-Dallaire","de l'Église / J.-Dallaire",46.768008,-71.290292,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3875,0,1
3876,"Ste-Thérèse/3876","Saint-Albert / Sainte-Thérèse",46.904736,-71.194483,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3876,0,2
3877,"L.-P.-Roy","Sainte-Thérèse / des Feux-Follets",46.905864,-71.192489,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3877,0,2
3878,"Raymond/Sablon.","Raymond / des Sablonnières",46.909113,-71.192202,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3878,0,2
3879,"Raymond/3879","Raymond / au 1196",46.910956,-71.192692,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3879,0,2
3880,"Bertrand","Raymond / Bertrand",46.912261,-71.193607,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=3880,0,2
4158,"Valcartier/4158","de la R.-Nelson / Valcartier",46.867557,-71.379492,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4158,0,2
4159,"J.-Laliberté","Valcartier / de la Coupe",46.866216,-71.377635,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4159,0,2
4160,"Faux-Trembles","Valcartier / des Faux-Trembles",46.865022,-71.376055,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4160,0,2
4161,"du Grand-Pré","Valcartier / du Grand-Pré",46.863838,-71.374422,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4161,0,2
4162,"des Joncs","Valcartier / L.-Robitaille",46.862601,-71.372632,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4162,0,2
4163,"du Parc-Marchand","Valcartier / du Parc-Marchand",46.861533,-71.371119,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4163,0,2
4164,"la Belle-Arrivée","de la Rive-Boisée Nord / B.-Arrivée",46.836709,-71.32174,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4164,0,2
4167,"des Étudiants","Valcartier / des Étudiants",46.855498,-71.362641,http://www.rtcquebec.ca/Default.aspx?tabid=95&noArret=4167,0,2
